PLAYER_ID,PLAYER_NAME
1630207,Nate Hinton
1629751,Dakota Mathias
1630270,Xavier Sneed
1629602,Javin DeLaurier
1629873,Jaysean Paige
1630695,Micah Potter
1628238,Paris Bass
1629610,DaQuan Jeffries
1630257,Jon Teske
1628537,Jaylen Morris
1629958,Ahmad Caver
1630678,Terry Taylor
1630237,Anthony Lamb
1630296,Braxton Key
203658,Norvel Pelle
1628395,Jordan Bell
1629597,Zylan Cheatham
1629623,Lindell Wigginton
1629603,Mamadi Diakite
1628380,Zach Collins
1630322,Lindy Waters III
1628365,Markelle Fultz
1627853,Ryan Arcidiacono
1627820,Tyrone Wallace
1627739,Kris Dunn
1629962,Devin Cannady
1629035,Carsen Edwards
1630994,Gabriel Lundberg
1630285,Zavier Simpson
1628982,Melvin Frazier Jr.
1630624,Feron Hunt
1628221,Gabe York
1630346,Matt Ryan
